(('Campylorhynchus', 'MX-BCS'), (10319, 0.021779735952695663))
(('Himantopus', 'US-HI'), (24471, 0.02177927491225456))
(('Larus', 'US-MA'), (953978, 0.02175696338141116))
(('Thryothorus', 'US-SC'), (251184, 0.02160442333226102))
(('Quiscalus', 'US-FL'), (1009672, 0.021575153027318765))
(('Pitangus', 'MX-YUC'), (13860, 0.021427610753289847))
(('Rupornis', 'MX-VER'), (16733, 0.021419632495600357))
(('Eupsittula', 'MX-CAM'), (3061, 0.02139436365441947))
(('Coragyps', 'US-FL'), (538801, 0.02127173652152267))
(('Larus', 'US-WA'), (948322, 0.021196366528871278))
(('Myiozetetes', 'MX-CAM'), (3772, 0.021139769583892142))
(('Calypte', 'US-OR'), (261811, 0.020973585677504708))
(('Larus', 'US-ME'), (470220, 0.020920800134687553))
(('Columbina', 'MX-OAX'), (19214, 0.0208646393226269))
(('Baeolophus', 'US-NC'), (416651, 0.02085378993095109))
(('Stercorarius', 'US-AK'), (52677, 0.02083579434009053))
(('Saltator', 'MX-VER'), (16768, 0.02082530016223198))
(('Zenaida', 'US-TX'), (1669430, 0.020744736010851732))
(('Melozone', 'MX-DIF'), (14639, 0.020732793780917864))
(('Myiozetetes', 'MX-NAY'), (12527, 0.020700076806562818))
(('Calypte', 'CA-BC'), (254365, 0.02067799114312679))
(('Melozone', 'US-CA'), (129054, 0.020647582073049477))
(('Zenaida', 'US-AZ'), (916998, 0.020624907434452108))
(('Cyanocorax', 'MX-NLE'), (5633, 0.020624826653944116))
(('Saltator', 'MX-ROO'), (10070, 0.02057576848686757))
(('Basileuterus', 'MX-OAX'), (9485, 0.020420236764538944))
(('Columbina', 'MX-DIF'), (15934, 0.02036246238274504))
(('Pipilo', 'CA-BC'), (402842, 0.02035696749495729))
(('Pitangus', 'MX-NLE'), (6671, 0.02031606238595889))
(('Leucolia', 'MX-MOR'), (2166, 0.020293551795406106))
(('Sturnella', 'US-KS'), (114835, 0.020273679524708238))
(('Amazona', 'MX-TAB'), (2139, 0.020217782593269302))
(('Campylorhynchus', 'MX-VER'), (19524, 0.02014581537846266))
(('Myiozetetes', 'MX-CHP'), (10612, 0.020081230396345868))
(('Haliaeetus', 'CA-BC'), (352974, 0.020062042121845976))
(('Ortalis', 'MX-ROO'), (10633, 0.02005970648583889))
(('Pelecanus', 'US-FL'), (493185, 0.02004251253511606))
(('Rupornis', 'MX-CAM'), (2756, 0.019976219034357905))
(('Basileuterus', 'MX-CHP'), (9900, 0.01992513678513415))
(('Toxostoma', 'US-AZ'), (342768, 0.019885350355280513))
(('Calocitta', 'MX-GRO'), (1393, 0.019864544081846004))
(('Fratercula', 'US-AK'), (48102, 0.019706929134467255))
(('Pipilo', 'US-WA'), (470466, 0.019664590192060533))
(('Saltator', 'MX-CHP'), (9946, 0.019631236287201346))
(('Thraupis', 'MX-CHP'), (9577, 0.019614446092154764))
(('Saucerottia', 'MX-OAX'), (8936, 0.01952607348244009))
(('Cyclarhis', 'MX-YUC'), (9274, 0.01950862474168785))
(('Pipilo', 'US-OR'), (398523, 0.019504605747587164))
(('Psaltriparus', 'MX-DIF'), (13737, 0.019503386712316995))
(('Sialia', 'US-NC'), (307887, 0.019467618580779042))
(('Sporophila', 'MX-MIC'), (2444, 0.01935655610215515))
(('Nycticorax', 'US-HI'), (25301, 0.01934467611383231))
(('Mimus', 'US-GA'), (288903, 0.019322466889492594))
(('Baeolophus', 'US-GA'), (345328, 0.019317710017240225))
(('Selasphorus', 'US-CO'), (210577, 0.019280205606664828))
(('Uria', 'US-AK'), (48810, 0.019270637009843296))
(('Anas', 'CA-QC'), (1117583, 0.019251997416526303))
(('Basileuterus', 'MX-NLE'), (3648, 0.019096392596568857))
(('Myiozetetes', 'MX-COL'), (2791, 0.01902962313837482))
(('Haliaeetus', 'US-AK'), (114756, 0.01898155107783146))
(('Larus', 'CA-NS'), (277187, 0.01895374075393755))
(('Tyrannus', 'US-TX'), (737231, 0.018951556184408812))
(('Larus', 'CA-ON'), (1331249, 0.018941068142324265))
(('Trogon', 'MX-NAY'), (11228, 0.0189198564455846))
(('Larus', 'US-AK'), (302986, 0.01887746124669576))
(('Eupsittula', 'MX-ROO'), (8897, 0.018806809511611833))
