(('Zonotrichia', 'CA-AB'), (86114, 1.005277191376764))
(('Catharus', 'CA-AB'), (39604, 0.993866459151635))
(('Sphyrapicus', 'CA-AB'), (18924, 0.9929681409012412))
(('Molothrus', 'CA-AB'), (47505, 0.9891790315948829))
(('Botaurus', 'CA-AB'), (2763, 0.9820260257744929))
(('Parkesia', 'CA-AB'), (9923, 0.9729686194520294))
(('Spizelloides', 'CA-AB'), (12874, 0.9625383596177979))
(('Agelaius', 'CA-AB'), (108519, 0.9539288131598614))
(('Gavia', 'CA-AB'), (20677, 0.9485360900464007))
(('Numenius', 'CA-AB'), (3775, 0.9309288704777097))
(('Larus', 'CA-AB'), (136867, 0.9037797256942122))
(('Charadrius', 'CA-AB'), (58245, 0.8994589215973113))
(('Corthylio', 'CA-AB'), (31695, 0.8936626529649758))
(('Tyrannus', 'CA-AB'), (35950, 0.8653823919848537))
(('Salpinctes', 'CA-AB'), (2037, 0.8639162405917206))
(('Anatidae', 'CA-AB'), (532, 0.8630065320714511))
(('Accipiter', 'CA-AB'), (28602, 0.8452335114971228))
(('Junco', 'CA-AB'), (63920, 0.8318528613872724))
(('Cistothorus', 'CA-AB'), (10104, 0.8299724752922906))
(('Passeriformes', 'CA-AB'), (1772, 0.8293304605636431))
(('Seiurus', 'CA-AB'), (12805, 0.8066667186548405))
(('Haemorhous', 'CA-AB'), (82320, 0.7903209750149732))
(('Dryocopus', 'CA-AB'), (23426, 0.7873864206513108))
(('Regulus', 'CA-AB'), (14407, 0.7860252022246296))
(('Grus', 'CA-AB'), (177, 0.7682414678615376))
(('Contopus', 'CA-AB'), (22573, 0.7624714391646589))
(('Icteridae', 'CA-AB'), (1347, 0.7395843548432491))
(('Lophodytes', 'CA-AB'), (13537, 0.7392841107187291))
(('Selasphorus', 'CA-AB'), (7797, 0.7201582990591718))
(('Nycticorax', 'CA-AB'), (6469, 0.7185738496891566))
(('Pandion', 'CA-AB'), (23023, 0.7091535064306661))
(('Chordeiles', 'CA-AB'), (4450, 0.6999158437132635))
(('Spinus', 'CA-AB'), (101194, 0.6896347146801772))
(('Setophaga', 'CA-AB'), (169235, 0.6889514411626858))
(('Hirundo', 'CA-AB'), (33950, 0.6721835935673677))
(('Melospiza', 'CA-AB'), (94545, 0.6599026358256146))
(('Cyanocitta', 'CA-AB'), (94079, 0.6576471216582258))
(('Certhia', 'CA-AB'), (9542, 0.6424695968440363))
(('Calidris', 'CA-AB'), (35544, 0.6414718639147423))
(('Hirundinidae', 'CA-AB'), (2415, 0.6337600467312119))
(('Antigone', 'CA-AB'), (8071, 0.6291075475712739))
(('Stelgidopteryx', 'CA-AB'), (10522, 0.610773006695177))
(('Fringilla', 'CA-AB'), (27, 0.6085910940560585))
(('Pheucticus', 'CA-AB'), (13664, 0.6072517474034133))
(('Charadriidae', 'CA-AB'), (8, 0.606857216295215))
(('Vireo', 'CA-AB'), (54116, 0.6029331878157077))
(('Nannopterum', 'CA-AB'), (33988, 0.5930358064304045))
(('Podilymbus', 'CA-AB'), (14526, 0.5618389256191132))
(('Podicipedidae', 'CA-AB'), (34, 0.5498203780190629))
(('Pluvialis', 'CA-AB'), (5505, 0.5354688516776448))
(('Geothlypis', 'CA-AB'), (27246, 0.5350855038108646))
(('Parulidae', 'CA-AB'), (1043, 0.46473030010242383))
(('Megaceryle', 'CA-AB'), (16885, 0.44831732019582343))
(('Chondestes', 'CA-AB'), (2313, 0.4397480499411648))
(('Progne', 'CA-AB'), (5354, 0.42773300646290213))
(('Dumetella', 'CA-AB'), (21787, 0.41445809508263665))
(('Icterus', 'CA-AB'), (15716, 0.3930189774282571))
(('Phalaenoptilus', 'CA-AB'), (189, 0.382981990447005))
(('Aix', 'CA-AB'), (10869, 0.3793995297521147))
(('Piranga', 'CA-AB'), (9594, 0.3699400472639082))
(('Melanitta', 'CA-AB'), (5323, 0.3659834107952803))
(('Sialia', 'CA-AB'), (17483, 0.3502793049121437))
(('Sibirionetta', 'CA-AB'), (1, 0.3457903943500332))
(('Dolichonyx', 'CA-AB'), (1825, 0.3283933186639032))
(('Mniotilta', 'CA-AB'), (5845, 0.32307855986827533))
(('Quiscalus', 'CA-AB'), (29818, 0.3138972606832219))
(('Ardea', 'CA-AB'), (33193, 0.2961736056125597))
(('Trochilidae', 'CA-AB'), (570, 0.2891289578362672))
(('Passerella', 'CA-AB'), (2698, 0.2882901469998455))
(('Fringillidae', 'CA-AB'), (60, 0.27689602598096086))
(('Ammodramus', 'CA-AB'), (768, 0.2629190524044663))
(('Sayornis', 'CA-AB'), (11960, 0.22127863346858961))
(('Corvidae', 'CA-AB'), (2, 0.2038343377221249))
(('Archilochus', 'CA-AB'), (6407, 0.19849277634990498))
(('Clangula', 'CA-AB'), (1065, 0.19635250327126386))
(('Hydroprogne', 'CA-AB'), (1702, 0.19109093122980925))
(('Hydrocoloeus', 'CA-AB'), (54, 0.18163169021064152))
(('Strix', 'CA-AB'), (1275, 0.17802865129505627))
(('Toxostoma', 'CA-AB'), (4248, 0.15075691222467785))
(('Zenaida', 'CA-AB'), (23520, 0.149644366150331))
(('Scolopacidae', 'CA-AB'), (5, 0.1376013455553104))
(('Numida', 'CA-AB'), (3, 0.1275999698000921))
(('Carduelis', 'CA-AB'), (6, 0.11451982952667766))
(('Icteria', 'CA-AB'), (550, 0.10811215025561378))
(('Rallus', 'CA-AB'), (606, 0.09321398782005842))
(('Troglodytidae', 'CA-AB'), (17, 0.0931740687946055))
(('Rissa', 'CA-AB'), (121, 0.08491418529188108))
(('Tyrannidae', 'CA-AB'), (36, 0.0841813527544278))
(('Stercorarius', 'CA-AB'), (153, 0.08038788655115052))
(('Pipilo', 'CA-AB'), (4226, 0.08027392648365196))
(('Apodidae', 'CA-AB'), (3, 0.08017824953059742))
(('Cathartes', 'CA-AB'), (5474, 0.06712444536552223))
(('Melopsittacus', 'CA-AB'), (1, 0.06698329651560392))
(('Rallidae', 'CA-AB'), (1, 0.06558093685948907))
(('Oreoscoptes', 'CA-AB'), (53, 0.06208951950644515))
(('Arenaria', 'CA-AB'), (414, 0.0611380915043129))
(('Ardeidae', 'CA-AB'), (3, 0.05684225660548492))
(('Meleagris', 'CA-AB'), (724, 0.05077002042224853))
(('Psittaciformes', 'CA-AB'), (2, 0.0429276265456712))
(('Passerina', 'CA-AB'), (1436, 0.03968733150446687))
(('Aves', 'CA-AB'), (6, 0.03481263067982465))
(('Myiarchus', 'CA-AB'), (650, 0.025011927277484736))
(('Artemisiospiza', 'CA-AB'), (11, 0.024391793796750216))
(('Synthliboramphus', 'CA-AB'), (5, 0.023418673085845953))
