objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Codenames: Pictures","198773","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100228749","7.04299","7.2156","1.2407","384","34893","thing","Codenames: Pictures","2","8","15","15","15","2016","4,5,6,7,8","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Codex: Card-Time Strategy – Deluxe Set","131111","0","","0","1","0","0","0","0","1","0","0","3","","","","","","100233116","6.33578","8.02263","3.6557","1468","1371","thing","Codex: Card-Time Strategy – Deluxe Set","2","5","45","45","45","2016","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Cosmic Encounter","39463","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100230749","7.36119","7.53554","2.5828","166","37862","thing","Cosmic Encounter","3","5","120","120","60","2008","4,5","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Coup","131357","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100229247","6.8584","6.99062","1.415","576","70491","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cranium","891","0","","0","1","0","0","0","0","1","0","0","3","","","","","","100233178","5.57895","5.68382","1.4242","8830","17607","thing","Cranium","4","16","60","60","60","1998","4,6,7,8,9,10,11,12,14,16","8","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Cthulhu Wars","139976","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100228474","7.15151","7.87797","3.1457","288","6461","thing","Cthulhu Wars","2","4","120","120","90","2015","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Cube Quest","137330","8","16","0","1","0","0","0","0","0","0","0","3","","I don't own the official set, but was able to play with multiple sets of colored dice.","","","","67633846","6.18959","6.82462","1.0986","1912","3553","thing","Cube Quest","2","2","15","15","15","2013","2","2","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Da Yu: The Flood Conqueror","158495","3","","0","1","0","0","0","0","0","0","0","3","","Cute components, interesting idea. But a bit too convoluted for such a small game.","","","","55289936","5.524","6.57024","2.3333","14729","68","thing","Da Yu: The Flood Conqueror","2","4","30","30","30","2014","2,3","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dancing Eggs","8924","6","1","0","1","0","0","0","0","0","0","0","3","","Great game to play with kids.","","","","54926758","5.96293","6.34725","1.0485","2864","3984","thing","Dancing Eggs","2","4","10","10","10","2003","3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Deep Sea Adventure","169654","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100232532","6.73675","6.93978","1.1677","729","22111","thing","Deep Sea Adventure","2","6","30","30","30","2014","3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Disney Villainous: Perfectly Wretched","299047","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100228706","6.66419","7.72654","2.3077","839","10211","thing","Disney Villainous: Perfectly Wretched","2","3","60","60","40","2020","2,3","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominoes","2394","0","","0","1","0","0","0","0","1","0","0","3","","","","","","100233184","5.46821","5.51125","1.3689","22369","13351","thing","Dominoes","2","10","30","30","30","1500","2,3,4","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dou Dizhu","32288","6","","0","1","0","0","0","0","0","0","0","3","","","","","","67393651","5.58478","7.04125","2.1111","8497","83","thing","Dou Dizhu","3","4","30","30","30","0","3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeon Twister","12995","0","","0","1","0","0","0","0","1","0","0","3","","","","","","100233187","6.46993","6.81615","2.8857","1182","7791","thing","Dungeon Twister","2","2","60","60","60","2004","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons & Dragons Dice Masters: Battle for Faerûn","160902","0","","0","1","0","0","0","0","1","0","0","3","","","","","","100233188","6.25828","7.22673","2.2","1687","3543","thing","Dungeons & Dragons Dice Masters: Battle for Faerûn","2","2","60","60","30","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Epic Card Game","175621","6","2","0","1","0","0","0","0","0","0","0","3","","","","","","67469143","6.1004","6.43478","2.5111","2226","10961","thing","Epic Card Game","2","4","40","40","20","2015","2,3,4","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape from the Hidden Castle","444","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","89209171","5.87512","6.27556","1.1369","3414","2766","thing","Escape from the Hidden Castle","2","8","30","30","30","1989","2,3,4,5,6,7,8","5","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Funkoverse Strategy Game","284775","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","66985032","6.07125","7.28115","2.1818","2359","1572","thing","Funkoverse Strategy Game","2","4","60","60","20","2019","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Game of Life in Monstropolis","5028","0","","0","1","0","0","0","0","1","0","0","3","","","","","","100233190","5.46883","4.62029","1","22345","179","thing","The Game of Life in Monstropolis","2","4","45","45","45","2001","","","6–10","","","","","","","standalone","","","","","","","","","","","","","","",""
"Go","188","8","","0","1","0","0","0","0","0","0","0","3","","","","","","68237569","7.31681","7.63909","3.9358","191","22491","thing","Go","2","2","180","180","30","-2200","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Go-Moku","11929","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100233293","5.60948","5.94375","1.8525","7402","576","thing","Go-Moku","2","2","5","5","5","700","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gobblet","2266","7","5","0","1","0","0","0","0","0","0","0","3","","","","","","89436907","6.01799","6.6089","1.843","2577","3435","thing","Gobblet","2","2","20","20","20","2000","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Guess Who?","4143","0","","0","1","0","0","0","0","1","0","0","3","","","","","","100233191","4.93865","4.81615","1.1074","23465","9488","thing","Guess Who?","2","2","20","20","20","1979","2","2","4–12","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hanamikoji","158600","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100229255","7.26871","7.51572","1.7189","222","24322","thing","Hanamikoji","2","2","15","15","15","2013","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hive","2655","7","","0","1","0","0","0","0","0","0","0","3","","","","","","68487788","7.18322","7.31946","2.3234","271","45646","thing","Hive","2","2","20","20","20","2000","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hive Pocket","154597","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100228694","7.33387","7.69647","2.2816","0","24666","thing","Hive Pocket","2","2","20","20","20","2010","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Homeworlds","14634","6","","0","1","0","0","0","0","0","0","0","3","","","","","","68926333","5.84273","7.60253","3.4468","3668","548","thing","Homeworlds","2","6","60","60","15","2001","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"ICECOOL","177524","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100229722","6.57908","6.80086","1.0392","991","16607","thing","ICECOOL","2","4","30","30","30","2016","3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"In a Pickle","12205","0","","0","1","0","0","0","0","1","0","0","3","","","","","","100233195","5.10853","4.67874","1.2135","23447","3812","thing","In a Pickle","2","6","20","20","20","2004","3,4,5,6","4,5,6","6+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Jaipur","54043","7","2","0","1","0","0","0","0","0","0","0","3","","","","","","68973791","7.38326","7.49609","1.4729","159","68430","thing","Jaipur","2","2","30","30","30","2009","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jenga","2452","9","","1","1","0","0","0","0","0","0","0","3","","Very underrated on bgg. 

Add a chess clock, and this turns into the best two-player dexterity game around. 

It's also an excellent way to resolve conflict in tabletop roleplaying games.","","","","55730369","5.55701","5.62732","1.1102","10298","25244","thing","Jenga","1","8","20","20","20","1983","2,3,4,5,6","4","5+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jungle Speed","8098","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100231034","6.29344","6.48711","1.1356","1589","19548","thing","Jungle Speed","2","10","10","10","10","1997","3,4,5,6,7,8","5,6","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"KeyForge: Call of the Archons","257501","0","","0","1","0","0","0","0","0","0","0","3","","Own three decks.","","","","100228647","6.84602","7.1674","2.5","586","16193","thing","KeyForge: Call of the Archons","2","2","45","45","15","2018","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"King of Tokyo","70323","0","","0","1","0","0","0","0","1","0","0","3","","","","","","100233196","7.0591","7.15599","1.4886","368","93493","thing","King of Tokyo","2","6","30","30","30","2011","3,4,5,6","4,5","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdomino","204583","0","","0","1","0","0","0","0","0","0","0","3","","With Giants Expansion","","","","100228374","7.2137","7.3327","1.219","252","68783","thing","Kingdomino","2","4","25","25","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lamarckian Poker","3270","7","","0","1","0","0","0","0","0","0","0","3","","The best non-betting variant of Poker that I've played. Not sure why other people think it's so luck dependent. But I've only played with three players, and I expect that luck is a bigger factor with higher player count.","","","","63550444","5.53969","6.46024","1.6111","12107","71","thing","Lamarckian Poker","2","6","10","10","10","1997","2,3,4,5,6","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Legendary: A Marvel Deck Building Game","129437","0","","0","1","0","0","0","0","1","0","0","3","","","","","","100233197","7.28392","7.55122","2.4337","207","33031","thing","Legendary: A Marvel Deck Building Game","1","5","60","60","30","2012","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Loony Quest","136991","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100230998","6.56904","6.90224","1.1928","1006","9636","thing","Loony Quest","2","5","30","30","20","2015","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lord of the Rings: The Confrontation","18833","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100230349","6.99755","7.47968","2.1978","426","7471","thing","Lord of the Rings: The Confrontation","2","2","30","30","30","2005","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter","129622","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100231008","7.13327","7.22663","1.1891","303","103271","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Machi Koro Legacy","259081","0","10","0","1","0","0","0","0","0","0","0","3","","","","","","63113934","6.25875","6.95725","1.9444","1682","5343","thing","Machi Koro Legacy","2","4","45","45","30","2019","2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Knight Board Game","96848","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100228777","7.86729","8.09168","4.3405","33","43025","thing","Mage Knight Board Game","1","4","240","240","60","2011","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Wars Academy","172503","0","","0","1","0","0","0","0","1","0","0","3","","","","","","100233199","6.14099","7.13735","3.0323","2089","3782","thing","Mage Wars Academy","2","2","30","30","30","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Magic: The Gathering – Heroes of Dominaria Board Game","248763","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100230337","5.67741","6.62526","2.2857","5651","1058","thing","Magic: The Gathering – Heroes of Dominaria Board Game","2","4","75","75","45","2018","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mahjong","2093","6","14","0","1","0","0","0","0","0","0","0","3","","Great components. But basically a glorified card game.  It's a shame there are only three suits. Otherwise, the pieces could be repurposed into a deluxified version of basically any card game.","","","","62763668","6.65839","7.0362","2.5693","853","10194","thing","Mahjong","3","4","120","120","120","1850","4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mahjong Rummy","20510","0","","0","1","0","0","0","0","0","0","0","3","","","","","","69314680","0","7.16071","2","0","41","thing","Mahjong Rummy","4","4","20","20","20","0","1,2,3,4","1,2,3,4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Mint Works","200077","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100231015","6.59736","6.96918","1.7105","955","12539","thing","Mint Works","1","4","20","20","10","2017","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
