objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Santorini","194655","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100229698","7.26637","7.40277","1.736","225","55669","thing","Santorini","2","4","20","20","20","2016","2,3","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Scattergories","2381","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100233137","6.03893","6.23204","1.3698","2489","18877","thing","Scattergories","2","6","30","30","30","1988","2,3,4,5,6","4,5,6","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Scoville","145659","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","64180822","6.70049","7.14067","2.7861","784","7464","thing","Scoville","2","6","90","90","60","2014","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Scrabble","320","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100233138","6.15261","6.26943","2.0762","2041","55244","thing","Scrabble","2","4","90","90","90","1948","2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Sherlock Holmes Consulting Detective","2511","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","68747640","7.45086","7.67374","2.6661","128","37655","thing","Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases","1","8","120","120","60","2016","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","Asmodee; Ystari Games","English","2016","Ystari English edition 2016"
"Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures","204305","7","","0","1","0","0","0","0","0","0","0","3","","","","","","68747639","7.0555","7.65817","2.1974","372","14775","thing","Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures","1","8","120","120","60","2016","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Silk","255037","0","","0","1","0","0","0","0","0","0","0","3","","","","","","63855083","5.77315","6.39807","2.5714","4307","1742","thing","Silk","2","4","45","45","45","2018","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Slither","75957","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","68486488","5.6093","7.97351","2.9231","7405","68","thing","Slither","2","2","40","40","40","2010","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spades","592","5","","0","1","0","0","0","0","0","0","0","3","","","","","","67393657","6.18965","6.77428","2.0227","1911","1352","thing","Spades","4","4","60","60","60","1938","4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Splendor","148228","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","100233142","7.31287","7.43171","1.785","194","101750","thing","Splendor","2","4","30","30","30","2014","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Spot it!","63268","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100231351","6.41331","6.58074","1.0335","1294","32036","thing","Spot it!","2","8","15","15","15","2009","2,3,4,5,6,7,8","4,5","4+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Star Wars: Imperial Assault","164153","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100230368","7.70022","7.9827","3.3049","59","39330","thing","Star Wars: Imperial Assault","1","5","120","120","60","2014","2,3,4,5","2,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Stratego","1917","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100233143","5.97947","6.11384","1.8455","2773","26634","thing","Stratego","2","2","45","45","45","1946","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"String Railway","76674","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100230342","5.9316","6.3374","1.4327","3057","2875","thing","String Railway","2","5","30","30","30","2012","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","FoxMind","English; French","2012","English/French edition"
"Sushi Go Party!","192291","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100229292","7.26542","7.42458","1.3034","227","52601","thing","Sushi Go Party!","2","8","20","20","20","2016","2,3,4,5,6,7,8","4,5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Sushi Go!","133473","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100229289","6.91483","7.02509","1.1584","515","72313","thing","Sushi Go!","2","5","15","15","15","2013","3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"TAJ","158916","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100228739","5.56126","5.98839","2.1667","9964","1536","thing","TAJ","2","4","10","10","10","2015","3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
