(('Setophaga', 'US-NY'), (1664333, 0.05131803834159107))
(('Cantorchilus', 'MX-CHP'), (2490, 0.05121422266065875))
(('Ardea', 'US-TX'), (1167667, 0.05068388515924481))
(('Anas', 'CA-QC'), (1117583, 0.05058569979770312))
(('Trogon', 'MX-CHP'), (15105, 0.0503920684963664))
(('Uria', 'US-AK'), (48810, 0.049961594345892806))
(('Leucophaeus', 'US-FL'), (438646, 0.049944027096489235))
(('Thryothorus', 'US-VA'), (597727, 0.0496846899368983))
(('Ramphocelus', 'MX-CHP'), (3192, 0.049626184019326024))
(('Pitangus', 'US-TX'), (187667, 0.04926081731060535))
(('Larus', 'US-MA'), (953978, 0.0491075227419525))
(('Larus', 'US-WA'), (948322, 0.048655253801119694))
(('Thryophilus', 'MX-NAY'), (8364, 0.04857546229158546))
(('Brachyramphus', 'US-AK'), (32064, 0.04838537379069312))
(('Calypte', 'US-OR'), (261811, 0.048363284533571076))
(('Polioptila', 'US-FL'), (533018, 0.04835681943899096))
(('Setophaga', 'CA-QC'), (1311294, 0.04825988519668845))
(('Poecile', 'CA-QC'), (1087392, 0.04820985372091114))
(('Saltator', 'MX-VER'), (16768, 0.04813642487110318))
(('Cardinalis', 'US-TX'), (1276013, 0.04803902517825133))
(('Cyanocorax', 'US-TX'), (150451, 0.04803386727603444))
(('Elanoides', 'US-FL'), (111055, 0.04798705585087083))
(('Megarynchus', 'MX-VER'), (10933, 0.047961812102704615))
(('Quiscalus', 'US-TX'), (1017181, 0.04795718858971846))
(('Calocitta', 'MX-NAY'), (8320, 0.04780146064979474))
(('Laterallus', 'MX-VER'), (5532, 0.04767270673286597))
(('Zenaida', 'US-AZ'), (916998, 0.047605143818631845))
(('Calypte', 'CA-BC'), (254365, 0.04741293449030935))
(('Phaethornis', 'MX-CHP'), (4249, 0.04735164205457683))
(('Peucaea', 'US-AZ'), (103729, 0.04731374012721399))
(('Stercorarius', 'CA-NU'), (8506, 0.047289915820854636))
(('Branta', 'US-NY'), (1054530, 0.04697264091122102))
(('Thryothorus', 'US-NC'), (484010, 0.04685101870122338))
(('Cyanocitta', 'US-NY'), (1158294, 0.04680039636212816))
(('Amandava', 'US-HI'), (3185, 0.04676912733985859))
(('Selasphorus', 'US-CO'), (210577, 0.04656222913084529))
(('Henicorhina', 'MX-CHP'), (5552, 0.04655718023815025))
(('Thryomanes', 'US-WA'), (258496, 0.04647618349772427))
(('Eugenes', 'US-AZ'), (59432, 0.04628738466543761))
(('Melanerpes', 'US-FL'), (933161, 0.04621364913688189))
(('Motacilla', 'US-AK'), (11761, 0.046135488215158484))
(('Poecile', 'CA-ON'), (1189746, 0.04612275314184175))
(('Porphyrio', 'US-FL'), (107857, 0.045971732607155064))
(('Lagopus', 'US-AK'), (20473, 0.045968429470821644))
(('Myiozetetes', 'MX-ROO'), (14919, 0.045859692535276664))
(('Cassiculus', 'MX-JAL'), (7581, 0.04581951935776469))
(('Melozone', 'US-CA'), (129054, 0.04581861563566941))
(('Thraupis', 'MX-CHP'), (9577, 0.045681740775110606))
(('Myioborus', 'US-AZ'), (73452, 0.045552698460249855))
(('Corvus', 'CA-BC'), (954472, 0.04554169727724135))
(('Cardinalis', 'US-PA'), (947363, 0.045441936061200505))
(('Corvus', 'CA-ON'), (1314253, 0.04527107383291637))
(('Dryobates', 'US-NY'), (1153628, 0.045262947241577985))
(('Melospiza', 'US-NY'), (1120464, 0.04523755923410152))
(('Anas', 'CA-ON'), (1141388, 0.045174418127107485))
(('Thryothorus', 'US-MD'), (543555, 0.04516464966383966))
(('Turdus', 'US-NY'), (1176486, 0.04511088470280349))
(('Pampa', 'MX-VER'), (6699, 0.04507012568413532))
(('Calcarius', 'US-AK'), (48011, 0.04490857857765506))
(('Streptopelia', 'US-CO'), (292678, 0.04481899406756767))
(('Tiaris', 'MX-ROO'), (4980, 0.04445878151984178))
(('Pica', 'US-ID'), (118106, 0.04431042210380047))
(('Calypte', 'US-CA'), (177000, 0.044257082769080636))
(('Cardinalis', 'US-NY'), (1117636, 0.04425059451401391))
(('Antigone', 'US-WI'), (231518, 0.04417423341270931))
(('Xenospiza', 'MX-DIF'), (1255, 0.04398301493027974))
(('Bubulcus', 'US-HI'), (48950, 0.04395340302957346))
(('Chlorospingus', 'MX-VER'), (5774, 0.04394824213031573))
(('Setophaga', 'US-OH'), (1107314, 0.04390466474303182))
(('Melospiza', 'CA-ON'), (1040486, 0.043843495917709814))
(('Dryobates', 'CA-QC'), (934491, 0.04376314772443115))
(('Aspatha', 'MX-CHP'), (1767, 0.043762192852204576))
(('Acanthis', 'US-AK'), (79359, 0.04374890909421574))
(('Pluvialis', 'US-HI'), (55066, 0.04361086519508481))
(('Cathartes', 'US-TX'), (855533, 0.043533711310240295))
(('Geococcyx', 'US-AZ'), (113985, 0.043400094405849535))
(('Columbina', 'US-TX'), (271810, 0.04339747351384679))
(('Cyclarhis', 'MX-ROO'), (5796, 0.043360056525960144))
(('Turdus', 'CA-ON'), (1083463, 0.04335870906104901))
(('Corvus', 'US-NY'), (1310063, 0.04323807222843669))
(('Aphelocoma', 'US-CA'), (153777, 0.0431131582236449))
(('Branta', 'CA-ON'), (926975, 0.0430944892269633))
(('Saucerottia', 'MX-OAX'), (8936, 0.042933559483639014))
(('Anas', 'US-NY'), (1128896, 0.04281002897432705))
(('Spinus', 'CA-ON'), (1023049, 0.04259679241350402))
(('Plegadis', 'US-FL'), (235164, 0.04250937754553042))
(('Euphonia', 'MX-CHP'), (9140, 0.04238579619284156))
(('Melospiza', 'CA-QC'), (879161, 0.04236683872519456))
(('Melanotis', 'MX-JAL'), (6917, 0.04228404247222135))
(('Pica', 'US-UT'), (129642, 0.042160002962127525))
(('Cathartes', 'US-FL'), (747759, 0.042137809488456045))
(('Toxostoma', 'US-AZ'), (342768, 0.04202624611577446))
(('Eupsittula', 'MX-ROO'), (8897, 0.042006912462616265))
(('Thryothorus', 'US-GA'), (395603, 0.04199922994226058))
(('Larus', 'CA-BC'), (738469, 0.041924382926824606))
(('Dryobates', 'CA-ON'), (1023715, 0.04192024237857249))
(('Spinus', 'CA-QC'), (880054, 0.041906220508349405))
(('Amazilia', 'MX-YUC'), (15566, 0.04173336372408982))
(('Crotophaga', 'MX-YUC'), (12721, 0.04161932891323758))
(('Larus', 'US-NJ'), (759154, 0.04161626810587254))
(('Ptiliogonys', 'MX-OAX'), (6948, 0.04157444211993135))
(('Sturnus', 'US-NY'), (895261, 0.041516646513878465))
(('Corvus', 'US-PA'), (1038156, 0.041510545406405995))
(('Hemignathus', 'US-HI'), (2509, 0.04151020506547012))
(('Cardinalis', 'US-FL'), (995521, 0.041506000993116986))
(('Corvus', 'US-WA'), (961797, 0.041473333491704185))
(('Cyanocitta', 'CA-ON'), (981300, 0.04138092561863275))
(('Histrionicus', 'US-AK'), (43598, 0.04128160901161918))
(('Urile', 'US-WA'), (128798, 0.04125999303085057))
(('Dryobates', 'US-PA'), (866555, 0.04119029031115664))
(('Agelaius', 'CA-ON'), (870401, 0.04115975296633785))
(('Platalea', 'US-FL'), (151970, 0.041134431275849544))
(('Basileuterus', 'MX-CHP'), (9900, 0.041076878379867246))
(('Poecile', 'US-WA'), (845463, 0.041029788934750226))
(('Baeolophus', 'US-PA'), (620147, 0.04099008936486185))
(('Atticora', 'MX-CHP'), (1549, 0.040960605651715935))
(('Pipilo', 'US-WA'), (470466, 0.04093951967542294))
(('Volatinia', 'MX-VER'), (8519, 0.04093871541237614))
(('Cyanocitta', 'US-PA'), (836000, 0.04092217249458011))
(('Cyanerpes', 'MX-CHP'), (3871, 0.04090359290596364))
(('Piaya', 'MX-VER'), (10382, 0.04083368231658983))
(('Basileuterus', 'MX-OAX'), (9485, 0.04079504318003452))
(('Turdus', 'US-PA'), (874142, 0.04060675152170004))
(('Cardinalis', 'US-VA'), (728016, 0.040589385322284))
(('Aramides', 'MX-VER'), (4827, 0.04057459082026286))
(('Lanius', 'US-TX'), (290605, 0.04056428555272574))
(('Zimmerius', 'MX-CHP'), (1516, 0.04053502092587673))
(('Melospiza', 'US-PA'), (828202, 0.040509717259861105))
(('Cyanocorax', 'MX-YUC'), (18304, 0.04045215893954087))
(('Streptoprocne', 'MX-CHP'), (4442, 0.040362365655613366))
(('Cardinalis', 'US-OH'), (791329, 0.0402889418418662))
(('Sitta', 'CA-ON'), (858301, 0.040200785711389186))
(('Sporophila', 'MX-VER'), (13355, 0.040151211483662304))
(('Zenaida', 'US-FL'), (988708, 0.04013302751603552))
(('Calcarius', 'CA-NU'), (7884, 0.04012846565353603))
(('Psaltriparus', 'US-CA'), (112390, 0.04008621078604311))
(('Aulacorhynchus', 'MX-CHP'), (2863, 0.03994050392201197))
(('Habia', 'MX-CHP'), (5589, 0.039939377538105295))
(('Dumetella', 'US-NY'), (598555, 0.03989571644665457))
(('Thryothorus', 'US-PA'), (557667, 0.03988076797235825))
(('Acanthis', 'CA-QC'), (176254, 0.039762238780809624))
(('Ixoreus', 'CA-BC'), (106717, 0.03965670001916511))
(('Bulweria', 'US-HI'), (2282, 0.039518681566975515))
(('Junco', 'US-WA'), (548378, 0.03949816236570648))
(('Melanerpes', 'US-AZ'), (623372, 0.03948322261745525))
(('Spinus', 'US-NY'), (988128, 0.039420850565572214))
(('Corvus', 'US-VA'), (843977, 0.03922451440835538))
(('Pharomachrus', 'MX-CHP'), (1420, 0.03921679575332393))
(('Haemorhous', 'US-AZ'), (613700, 0.03913624577760369))
(('Zenaida', 'US-NY'), (1015050, 0.03912727216866399))
(('Basileuterus', 'MX-VER'), (12078, 0.03912124467564078))
(('Somateria', 'US-MA'), (147689, 0.03901789913781903))
(('Pheugopedius', 'MX-NAY'), (9182, 0.039001888078856316))
(('Pipilo', 'CA-BC'), (402842, 0.03878910304513698))
(('Dryobates', 'US-WI'), (698204, 0.03874041330831221))
(('Melospiza', 'US-MA'), (731574, 0.03871744182552787))
(('Larus', 'US-ME'), (470220, 0.03866144470201155))
(('Stilpnia', 'MX-CHP'), (1532, 0.03865981650206959))
(('Nannopterum', 'US-FL'), (574651, 0.03862817300811172))
(('Bucephala', 'US-WA'), (416455, 0.038621536950699475))
(('Haliaeetus', 'CA-BC'), (352974, 0.03858791522029849))
(('Poecile', 'US-NY'), (1036563, 0.038502505804529685))
(('Tityra', 'MX-NAY'), (7929, 0.03845507980754939))
(('Setophaga', 'US-ME'), (594022, 0.03834836051238312))
(('Arremonops', 'US-TX'), (82550, 0.03826075092322964))
(('Momotus', 'MX-CHP'), (6924, 0.038250045015998525))
(('Spatula', 'US-TX'), (538620, 0.03824794950476096))
(('Ramphastos', 'MX-CHP'), (4449, 0.03819406877963737))
(('Agelaius', 'US-NY'), (841666, 0.038135152240985765))
(('Passer', 'US-NY'), (713416, 0.03805592479337589))
(('Thryomanes', 'US-AZ'), (205279, 0.03804548519529234))
(('Pipilo', 'US-OR'), (398523, 0.038029165941888966))
(('Sturnus', 'CA-ON'), (785734, 0.038029080442899064))
(('Cardinalis', 'US-MD'), (681139, 0.03796144526430726))
(('Zenaida', 'US-PA'), (812703, 0.03795296224010276))
(('Paroreomyza', 'US-HI'), (2097, 0.03794929947318773))
(('Polysticta', 'US-AK'), (7277, 0.03794101745853212))
(('Oriturus', 'MX-DIF'), (2236, 0.037862076217986665))
(('Columbina', 'US-FL'), (213682, 0.03778229508192529))
(('Saltator', 'MX-ROO'), (10070, 0.03772451968598326))
(('Dryobates', 'US-MI'), (713101, 0.03771672957575521))
(('Habia', 'MX-ROO'), (5178, 0.03769522252843182))
(('Psilorhinus', 'MX-ROO'), (7859, 0.037629855320575493))
(('Buteo', 'US-TX'), (828084, 0.03756168747898229))
(('Aphelocoma', 'US-AZ'), (192911, 0.037560113028191046))
(('Quiscalus', 'CA-ON'), (724964, 0.037516233922995426))
(('Colaptes', 'CA-BC'), (476541, 0.03747177062181519))
(('Sayornis', 'US-AZ'), (422574, 0.03740941261733558))
(('Catherpes', 'US-AZ'), (88455, 0.03736638201238661))
(('Tolmomyias', 'MX-CHP'), (3959, 0.037290807749180685))
(('Baeolophus', 'US-NC'), (416651, 0.0372762987198805))
(('Cairina', 'US-FL'), (98645, 0.037217978987728766))
(('Anas', 'US-WA'), (750876, 0.037202420315412175))
(('Psaltriparus', 'US-OR'), (141123, 0.0371863468330855))
(('Pachysylvia', 'MX-CHP'), (3145, 0.037115544606247074))
(('Poecile', 'CA-BC'), (689309, 0.037015116376514924))
(('Campephilus', 'MX-NAY'), (4376, 0.03700084667036497))
(('Setophaga', 'US-NC'), (731288, 0.036975672883430157))
