(('Thryophilus', 'MX-NAY'), (8364, 0.0483734311580518))
(('Saltator', 'MX-VER'), (16768, 0.04770564941267432))
(('Megarynchus', 'MX-VER'), (10933, 0.04769664389582994))
(('Mimus', 'US-TX'), (1153487, 0.04765970332294351))
(('Brachyramphus', 'US-AK'), (32064, 0.04762495509067157))
(('Calocitta', 'MX-NAY'), (8320, 0.047596262221077934))
(('Laterallus', 'MX-VER'), (5532, 0.047561915397783094))
(('Phaethornis', 'MX-CHP'), (4249, 0.047257631693913005))
(('Stercorarius', 'CA-NU'), (8506, 0.047052045573263965))
(('Amandava', 'US-HI'), (3185, 0.046721936492297875))
(('Henicorhina', 'MX-CHP'), (5552, 0.04642186591487748))
(('Pandion', 'US-FL'), (678520, 0.04634644168039508))
(('Elanoides', 'US-FL'), (111055, 0.0459502165144383))
(('Motacilla', 'US-AK'), (11761, 0.04593295296284023))
(('Cassiculus', 'MX-JAL'), (7581, 0.04561730033341374))
(('Lagopus', 'US-AK'), (20473, 0.045500970035597645))
(('Myiozetetes', 'MX-ROO'), (14919, 0.04543987196660421))
(('Thraupis', 'MX-CHP'), (9577, 0.04542129935190788))
(('Pitangus', 'US-TX'), (187667, 0.04540581506473652))
(('Eugenes', 'US-AZ'), (59432, 0.04520820901626564))
(('Cyanocorax', 'US-TX'), (150451, 0.04510671645267932))
(('Peucaea', 'US-AZ'), (103729, 0.0449742357889286))
(('Pampa', 'MX-VER'), (6699, 0.0449114602683872))
(('Pelecanus', 'US-FL'), (493185, 0.0448437185020539))
(('Coragyps', 'US-FL'), (538801, 0.044431380790121024))
(('Tiaris', 'MX-ROO'), (4980, 0.04433107788421077))
(('Myioborus', 'US-AZ'), (73452, 0.04399999993377468))
(('Xenospiza', 'MX-DIF'), (1255, 0.043962043957681635))
(('Porphyrio', 'US-FL'), (107857, 0.04383665500242246))
(('Chlorospingus', 'MX-VER'), (5774, 0.043812264666509386))
(('Aspatha', 'MX-CHP'), (1767, 0.04373421061700493))
(('Calcarius', 'US-AK'), (48011, 0.04357489270595758))
(('Cyclarhis', 'MX-ROO'), (5796, 0.04320175799431523))
(('Saucerottia', 'MX-OAX'), (8936, 0.04267154952695383))
(('Egretta', 'US-TX'), (810958, 0.042507307395938304))
(('Bubulcus', 'US-HI'), (48950, 0.04247538573004648))
(('Melozone', 'US-CA'), (129054, 0.042244682884662425))
(('Euphonia', 'MX-CHP'), (9140, 0.0421148893815382))
(('Melanotis', 'MX-JAL'), (6917, 0.042082268160605465))
(('Pluvialis', 'US-HI'), (55066, 0.04193222049608402))
(('Eupsittula', 'MX-ROO'), (8897, 0.04174011049030992))
(('Hemignathus', 'US-HI'), (2509, 0.04146830110204042))
(('Calypte', 'US-OR'), (261811, 0.04145811369077861))
(('Acanthis', 'US-AK'), (79359, 0.041386600168941357))
(('Ptiliogonys', 'MX-OAX'), (6948, 0.04136803216972967))
(('Amazilia', 'MX-YUC'), (15566, 0.04124643164006183))
(('Crotophaga', 'MX-YUC'), (12721, 0.041224450855128665))
(('Atticora', 'MX-CHP'), (1549, 0.040934374737532586))
(('Selasphorus', 'US-CO'), (210577, 0.04082190475935915))
(('Cyanerpes', 'MX-CHP'), (3871, 0.04079862492605706))
(('Pica', 'US-ID'), (118106, 0.04078197439277328))
(('Basileuterus', 'MX-CHP'), (9900, 0.04077019389910291))
(('Ardea', 'US-FL'), (1419253, 0.040711205271422926))
(('Volatinia', 'MX-VER'), (8519, 0.040693427068611746))
(('Calypte', 'CA-BC'), (254365, 0.0405518450972962))
(('Piaya', 'MX-VER'), (10382, 0.04052452843085781))
(('Zimmerius', 'MX-CHP'), (1516, 0.0405090951374963))
(('Basileuterus', 'MX-OAX'), (9485, 0.04049818360960445))
(('Aramides', 'MX-VER'), (4827, 0.04045223240656358))
(('Geococcyx', 'US-AZ'), (113985, 0.04038889758051848))
(('Streptoprocne', 'MX-CHP'), (4442, 0.04023572767858484))
(('Histrionicus', 'US-AK'), (43598, 0.03995326319945439))
(('Calcarius', 'CA-NU'), (7884, 0.03986682691702399))
(('Aulacorhynchus', 'MX-CHP'), (2863, 0.03986668621406654))
(('Cyanocorax', 'MX-YUC'), (18304, 0.03985577817568453))
(('Habia', 'MX-CHP'), (5589, 0.039771174562235515))
(('Sporophila', 'MX-VER'), (13355, 0.03973324655345919))
(('Bulweria', 'US-HI'), (2282, 0.039478501683265936))
(('Thryomanes', 'US-WA'), (258496, 0.039440423405140305))
(('Pharomachrus', 'MX-CHP'), (1420, 0.03919167510685826))
(('Calypte', 'US-CA'), (177000, 0.03903597968008781))
(('Leucophaeus', 'US-FL'), (438646, 0.038796234775133075))
(('Basileuterus', 'MX-VER'), (12078, 0.038735066329357415))
(('Pheugopedius', 'MX-NAY'), (9182, 0.0387053139002678))
(('Stilpnia', 'MX-CHP'), (1532, 0.038629596684290925))
(('Coragyps', 'US-TX'), (548178, 0.03848051060712808))
(('Aphelocoma', 'US-CA'), (153777, 0.03847968384409447))
(('Tityra', 'MX-NAY'), (7929, 0.03819837759866666))
(('Pica', 'US-UT'), (129642, 0.038090936352783406))
(('Ramphastos', 'MX-CHP'), (4449, 0.03805712906013987))
(('Momotus', 'MX-CHP'), (6924, 0.03802404148848411))
(('Paroreomyza', 'US-HI'), (2097, 0.037910979351667436))
(('Polysticta', 'US-AK'), (7277, 0.03779915684238017))
(('Oriturus', 'MX-DIF'), (2236, 0.037796232696535884))
(('Urile', 'US-WA'), (128798, 0.03755612135747828))
(('Habia', 'MX-ROO'), (5178, 0.03752824448953358))
(('Antigone', 'US-WI'), (231518, 0.03745985543001322))
(('Saltator', 'MX-ROO'), (10070, 0.03737909945912025))
(('Psilorhinus', 'MX-ROO'), (7859, 0.03736425585646659))
(('Tolmomyias', 'MX-CHP'), (3959, 0.03716754948034111))
(('Pachysylvia', 'MX-CHP'), (3145, 0.037021828322641774))
(('Platalea', 'US-FL'), (151970, 0.036957097164080514))
(('Campephilus', 'MX-NAY'), (4376, 0.036864490237394625))
(('Elaenia', 'MX-ROO'), (2926, 0.036596072504470466))
