(('Setophaga magnolia x caerulescens', 'CA-ON'), (1, 1.0))
(('Leiothlypis ruficapilla x Setophaga magnolia', 'CA-NS'), (1, 1.0))
(('Setophaga magnolia x pensylvanica', 'CA-ON'), (2, 1.0))
(('Turdus viscivorus', 'CA-NB'), (293, 1.0))
(('Calidris ptilocnemis/maritima', 'CA-BC'), (1, 1.0))
(('Himantopus mexicanus x Recurvirostra americana', 'CA-AB'), (1, 1.0))
(('Calcarius lapponicus x Plectrophenax nivalis', 'CA-QC'), (1, 1.0))
(('Columba palumbus', 'CA-QC'), (1, 1.0))
(('Cyanocitta stelleri x Aphelocoma californica', 'CA-BC'), (8, 1.0))
(('Butorides virescens/striata', 'CA-ON'), (1, 1.0))
(('Alaudidae sp.', 'CA-ON'), (1, 1.0))
(('Melospiza melodia x lincolnii', 'CA-QC'), (1, 1.0))
(('Melanitta fusca', 'CA-QC'), (16, 1.0))
(('Anodorhynchus hyacinthinus', 'CA-QC'), (2, 1.0))
(('Glaucidium/Aegolius sp. (pygmy-owl/saw-whet owl sp.)', 'CA-QC'), (1, 1.0))
(('Euplectes orix', 'CA-ON'), (3, 1.0))
(('Marmaronetta angustirostris', 'CA-QC'), (2, 1.0))
(('Colius striatus', 'CA-ON'), (1, 1.0))
(('Pheucticus aureoventris', 'CA-QC'), (2, 1.0))
(('Amadina erythrocephala', 'CA-QC'), (1, 1.0))
(('Goura victoria', 'CA-ON'), (1, 1.0))
(('Scopus umbretta', 'CA-ON'), (1, 1.0))
(('Streptopelia senegalensis', 'CA-QC'), (5, 1.0))
(('Spheniscus demersus', 'CA-ON'), (1, 1.0))
(('Spizixos semitorques', 'CA-QC'), (4, 1.0))
(('Stizoptera bichenovii', 'CA-ON'), (1, 1.0))
(('Pternistis afer', 'CA-ON'), (1, 1.0))
(('Cyanocorax chrysops', 'CA-ON'), (1, 1.0))
(('Sagittarius serpentarius', 'CA-ON'), (1, 1.0))
(('Pelecanus onocrotalus', 'CA-QC'), (3, 1.0))
(('Eudromia elegans', 'CA-ON'), (1, 1.0))
(('Atelornis pittoides', 'CA-BC'), (1, 1.0))
(('Polyplectron chalcurum', 'CA-ON'), (2, 1.0))
(('Serinus canaria', 'CA-QC'), (1, 1.0))
(('Poicephalus rufiventris', 'CA-ON'), (2, 1.0))
(('Branta ruficollis', 'CA-ON'), (1, 1.0))
(('Coturnix coturnix/coromandelica', 'CA-ON'), (2, 1.0))
(('Phylloscopus inornatus/humei', 'CA-ON'), (2, 1.0))
(('Chloebia gouldiae', 'CA-QC'), (1, 1.0))
(('Dacelo novaeguineae', 'CA-ON'), (1, 1.0))
(('Strix aluco', 'CA-ON'), (1, 1.0))
(('Epthianura crocea', 'CA-BC'), (2, 1.0))
(('Anas platyrhynchos x superciliosa', 'CA-BC'), (3, 1.0))
(('Zapornia flavirostra', 'CA-ON'), (1, 1.0))
(('Falco biarmicus', 'CA-ON'), (1, 1.0))
(('Cyanistes caeruleus', 'CA-ON'), (3, 1.0))
(('Corvus corone', 'CA-ON'), (1, 1.0))
(('Trochalopteron elliotii', 'CA-BC'), (1, 1.0))
(('Bucorvus abyssinicus', 'CA-ON'), (1, 1.0))
(('Merops nubicus', 'CA-QC'), (3, 1.0))
(('Lonchura striata', 'CA-QC'), (1, 1.0))
(('Pyrrhoplectes epauletta', 'CA-ON'), (1, 1.0))
(('Crithagra sp.', 'CA-ON'), (1, 1.0))
(('Motacilla flava/tschutschensis', 'US-AL'), (1, 1.0))
(('Urile urile', 'US-AK'), (12099, 1.0))
(('Cuculus optatus', 'US-AK'), (133, 1.0))
(('Onychoprion aleuticus', 'US-AK'), (7065, 1.0))
(('Jynx torquilla', 'US-AK'), (29, 1.0))
(('Anas zonorhyncha', 'US-AK'), (49, 1.0))
(('Aethia pygmaea', 'US-AK'), (669, 1.0))
(('Hirundapus caudacutus', 'US-AK'), (11, 1.0))
(('Egretta eulophotes', 'US-AK'), (1, 1.0))
(('Delichon urbicum', 'US-AK'), (67, 1.0))
(('Anthus gustavi', 'US-AK'), (140, 1.0))
(('Upupa epops', 'US-AK'), (2, 1.0))
(('Caprimulgus jotaka', 'US-AK'), (1, 1.0))
(('Emberiza schoeniclus', 'US-AK'), (11, 1.0))
(('Otus sunia', 'US-AK'), (2, 1.0))
(('Muscicapa sibirica', 'US-AK'), (70, 1.0))
(('Tringa ochropus', 'US-AK'), (21, 1.0))
(('Phylloscopus sibilatrix', 'US-AK'), (61, 1.0))
(('Cuculus sp.', 'US-AK'), (15, 1.0))
(('Helopsaltes ochotensis', 'US-AK'), (52, 1.0))
(('Emberiza variabilis', 'US-AK'), (14, 1.0))
(('Phylloscopus examinandus', 'US-AK'), (23, 1.0))
(('Muscicapa griseisticta', 'US-AK'), (281, 1.0))
(('Ficedula parva', 'US-AK'), (1, 1.0))
(('Buteo buteo', 'US-AK'), (1, 1.0))
(('Himantopus himantopus', 'US-AK'), (3, 1.0))
(('Rissa tridactyla/brevirostris', 'US-AK'), (594, 1.0))
(('Muscicapa dauurica', 'US-AK'), (30, 1.0))
(('Ficedula mugimaki', 'US-AK'), (1, 1.0))
(('Glareola maldivarum', 'US-AK'), (7, 1.0))
(('Larvivora cyane', 'US-AK'), (6, 1.0))
(('Dendrocopos major', 'US-AK'), (21, 1.0))
(('Charadrius dubius', 'US-AK'), (6, 1.0))
(('Motacilla flava', 'US-AK'), (1, 1.0))
(('Ficedula narcissina', 'US-AK'), (7, 1.0))
(('Ixobrychus sinensis', 'US-AK'), (5, 1.0))
(('Anthus trivialis/hodgsoni', 'US-AK'), (1, 1.0))
(('Gallinago stenura', 'US-AK'), (58, 1.0))
(('Turdus eunomus/naumanni', 'US-AK'), (1, 1.0))
(('Plectrophenax nivalis x hyperboreus', 'US-AK'), (36, 1.0))
(('Accipiter soloensis', 'US-AK'), (1, 1.0))
(('Anthus trivialis', 'US-AK'), (32, 1.0))
(('Ardeola bacchus', 'US-AK'), (10, 1.0))
(('Emberiza elegans', 'US-AK'), (11, 1.0))
(('Turdus naumanni', 'US-AK'), (12, 1.0))
(('Circus sp.', 'US-AK'), (3, 1.0))
(('Larvivora sibilans', 'US-AK'), (24, 1.0))
(('Zapornia pusilla', 'US-AK'), (4, 1.0))
(('Accipiter nisus', 'US-AK'), (3, 1.0))
(('Circus cyaneus', 'US-AK'), (1, 1.0))
(('Larus schistisagus x hyperboreus', 'US-AK'), (4, 1.0))
(('Curruca curruca', 'US-AK'), (1, 1.0))
(('Muscicapa striata', 'US-AK'), (1, 1.0))
(('Thalassarche salvini', 'US-AK'), (1, 1.0))
(('Ardea intermedia', 'US-AK'), (2, 1.0))
(('Emberiza pallasi', 'US-AK'), (86, 1.0))
(('Phylloscopus proregulus', 'US-AK'), (3, 1.0))
(('Ninox japonica', 'US-AK'), (13, 1.0))
(('Phylloscopus trochilus', 'US-AK'), (109, 1.0))
(('Acrocephalus schoenobaenus', 'US-AK'), (4, 1.0))
(('Emberiza chrysophrys', 'US-AK'), (1, 1.0))
(('Gallinago solitaria', 'US-AK'), (18, 1.0))
(('Acrocephalus dumetorum', 'US-AK'), (6, 1.0))
(('Pterodroma solandri', 'US-AK'), (1, 1.0))
(('Leucosticte arctoa', 'US-AK'), (1, 1.0))
(('Botaurus stellaris', 'US-AK'), (2, 1.0))
(('Uria aalge x lomvia', 'US-AK'), (1, 1.0))
(('Phylloscopus collybita', 'US-AK'), (205, 1.0))
(('Phoenicurus phoenicurus', 'US-AK'), (7, 1.0))
(('Carpodacus roseus', 'US-AK'), (17, 1.0))
(('Milvus migrans', 'US-AK'), (2, 1.0))
(('Oenanthe pleschanka', 'US-AK'), (20, 1.0))
(('Arundinax aedon', 'US-AK'), (42, 1.0))
(('Locustella fluviatilis', 'US-AK'), (2, 1.0))
(('Somateria fischeri x spectabilis', 'US-AK'), (1, 1.0))
(('Buteo rufinus', 'US-AK'), (9, 1.0))
(('Ichthyaetus ichthyaetus', 'US-AK'), (3, 1.0))
(('Emberiza sp.', 'US-AK'), (1, 1.0))
(('Helopsaltes certhiola', 'US-AK'), (25, 1.0))
(('Muscicapa griseisticta/sibirica', 'US-AK'), (1, 1.0))
(('Monticola saxatilis', 'US-AK'), (17, 1.0))
(('Baeolophus wollweberi/ridgwayi', 'US-AZ'), (36, 1.0))
(('Polioptila melanura x nigriceps', 'US-AZ'), (6, 1.0))
(('Eugenes fulgens x Saucerottia beryllina', 'US-AZ'), (78, 1.0))
(('Piranga flava x bidentata', 'US-AZ'), (1, 1.0))
(('Cynanthus latirostris x Leucolia violiceps', 'US-AZ'), (47, 1.0))
(('Calothorax lucifer x Calypte costae', 'US-AZ'), (181, 1.0))
(('Archilochus alexandri x Calypte costae', 'US-AZ'), (16, 1.0))
(('Calothorax lucifer x Calypte anna', 'US-AZ'), (1, 1.0))
(('Archilochus alexandri x Cynanthus latirostris', 'US-AZ'), (1, 1.0))
(('Agapornis personatus', 'US-AZ'), (186, 1.0))
(('Melozone fusca x aberti', 'US-AZ'), (13, 1.0))
(('Myioborus pictus x miniatus', 'US-AZ'), (3, 1.0))
(('Calypte anna x Cynanthus latirostris', 'US-AZ'), (2, 1.0))
(('Pica nuttalli', 'US-CA'), (17869, 1.0))
(('Aphelocoma insularis', 'US-CA'), (924, 1.0))
(('Dryobates nuttallii x villosus', 'US-CA'), (1, 1.0))
(('Zosterops palpebrosus', 'US-CA'), (24, 1.0))
(('Pterodroma gouldi', 'US-CA'), (12, 1.0))
(('Zosterops simplex', 'US-CA'), (7, 1.0))
(('Phoebetria palpebrata', 'US-CA'), (2, 1.0))
(('Dryobates pubescens x nuttallii', 'US-CA'), (13, 1.0))
(('Thalassarche cauta/salvini/eremita', 'US-CA'), (2, 1.0))
(('Thalassarche eremita', 'US-CA'), (3, 1.0))
(('Hydrobates hornbyi', 'US-CA'), (1, 1.0))
(('Procellaria parkinsoni', 'US-CA'), (1, 1.0))
(('Geothlypis trichas x Setophaga petechia', 'US-CA'), (2, 1.0))
(('Vireo philadelphicus x olivaceus', 'US-CA'), (2, 1.0))
(('Sayornis nigricans x saya', 'US-CA'), (7, 1.0))
(('Procellaria aequinoctialis', 'US-CA'), (14, 1.0))
(('Calidris tenuirostris x virgata', 'US-CA'), (7, 1.0))
(('Nycticorax nycticorax x Nyctanassa violacea', 'US-CA'), (5, 1.0))
(('Geranoaetus polyosoma', 'US-CO'), (8, 1.0))
(('Setophaga citrina x petechia', 'US-CO'), (4, 1.0))
(('Spizella pallida x breweri', 'US-CO'), (2, 1.0))
(('Vireo gilvus x olivaceus', 'US-CO'), (1, 1.0))
(('Cyanocitta stelleri x Aphelocoma woodhouseii', 'US-CO'), (245, 1.0))
(('Contopus sordidulus x virens', 'US-CO'), (11, 1.0))
(('Megascops kennicottii x asio', 'US-CO'), (1, 1.0))
(('Anas platyrhynchos x diazi/fulvigula', 'US-CO'), (4, 1.0))
(('Melozone fusca x Pipilo maculatus', 'US-CO'), (4, 1.0))
(('Irena puella', 'US-DC'), (1, 1.0))
(('Argusianus argus', 'US-DC'), (1, 1.0))
(('Coracias caudatus', 'US-DC'), (1, 1.0))
(('Gallicolumba tristigmata', 'US-DC'), (1, 1.0))
(('Eurypyga helias', 'US-DC'), (1, 1.0))
(('Pteroglossus viridis', 'US-DC'), (1, 1.0))
(('Progne elegans', 'US-FL'), (1, 1.0))
(('Progne cryptoleuca', 'US-FL'), (1, 1.0))
(('Agelaius humeralis', 'US-FL'), (1, 1.0))
(('Tachornis phoenicobia', 'US-FL'), (290, 1.0))
(('Ephippiorhynchus asiaticus', 'US-FL'), (1, 1.0))
(('Amazona amazonica', 'US-FL'), (2592, 1.0))
(('Eudocimus albus x ruber', 'US-FL'), (26, 1.0))
(('Geotrygon chrysia', 'US-FL'), (402, 1.0))
(('Psittacula cyanocephala', 'US-FL'), (1, 1.0))
(('Myiarchus sagrae', 'US-FL'), (1277, 1.0))
(('Tachycineta cyaneoviridis', 'US-FL'), (68, 1.0))
(('Psittacara leucophthalmus', 'US-FL'), (852, 1.0))
(('Melanospiza bicolor', 'US-FL'), (1164, 1.0))
(('Mimus gundlachii', 'US-FL'), (892, 1.0))
(('Vireo crassirostris', 'US-FL'), (821, 1.0))
(('Aratinga weddellii', 'US-FL'), (4, 1.0))
(('Contopus caribaeus', 'US-FL'), (522, 1.0))
(('Psittacara finschi', 'US-FL'), (257, 1.0))
(('Pionus maximiliani', 'US-FL'), (64, 1.0))
(('Psittacara wagleri', 'US-FL'), (185, 1.0))
(('Brotogeris versicolurus x chiriri', 'US-FL'), (6, 1.0))
(('Tyrannus caudifasciatus', 'US-FL'), (119, 1.0))
(('Euplectes sp.', 'US-FL'), (1, 1.0))
(('Ciconia episcopus', 'US-FL'), (1, 1.0))
(('Ara ararauna x macao', 'US-FL'), (1, 1.0))
(('Turdus plumbeus', 'US-FL'), (526, 1.0))
(('Phonipara canora', 'US-FL'), (1, 1.0))
(('Tyrannus melancholicus x dominicensis', 'US-FL'), (41, 1.0))
(('Brotogeris sp.', 'US-FL'), (2, 1.0))
(('Porphyrio sp. (swamphen sp.)', 'US-FL'), (4, 1.0))
(('Vireo gundlachii', 'US-FL'), (166, 1.0))
(('Petrochelidon pyrrhonota x fulva', 'US-FL'), (5, 1.0))
(('Patagioenas squamosa', 'US-FL'), (4, 1.0))
(('Anas platyrhynchos x zonorhyncha', 'US-FL'), (17, 1.0))
(('Mimus gundlachii x polyglottos', 'US-FL'), (2, 1.0))
(('Branta sandvicensis', 'US-HI'), (18412, 1.0))
(('Zosterops japonicus', 'US-HI'), (82840, 1.0))
(('Geopelia striata', 'US-HI'), (78346, 1.0))
(('Fulica alai', 'US-HI'), (22293, 1.0))
(('Garrulax canorus', 'US-HI'), (7663, 1.0))
(('Copsychus malabaricus', 'US-HI'), (18329, 1.0))
(('Himatione sanguinea', 'US-HI'), (35689, 1.0))
(('Buteo solitarius', 'US-HI'), (6308, 1.0))
(('Chasiempis sandwichensis', 'US-HI'), (13102, 1.0))
(('Drepanis coccinea', 'US-HI'), (17194, 1.0))
(('Chlorodrepanis virens', 'US-HI'), (29234, 1.0))
(('Myadestes obscurus', 'US-HI'), (16063, 1.0))
(('Leiothrix lutea', 'US-HI'), (17965, 1.0))
(('Magumma parva', 'US-HI'), (1914, 1.0))
(('Chasiempis sclateri', 'US-HI'), (3099, 1.0))
(('Chlorodrepanis stejnegeri', 'US-HI'), (2205, 1.0))
(('Amandava amandava', 'US-HI'), (3185, 1.0))
(('Chasiempis ibidis', 'US-HI'), (1199, 1.0))
(('Anas wyvilliana', 'US-HI'), (4557, 1.0))
(('Loxops caeruleirostris', 'US-HI'), (507, 1.0))
(('Oreomystis bairdi', 'US-HI'), (254, 1.0))
(('Myadestes myadestinus', 'US-HI'), (8, 1.0))
(('Hemignathus wilsoni', 'US-HI'), (2508, 1.0))
(('Loxioides bailleui', 'US-HI'), (1839, 1.0))
(('Myadestes lanaiensis', 'US-HI'), (1, 1.0))
(('Palmeria dolei', 'US-HI'), (429, 1.0))
(('Paroreomyza montana', 'US-HI'), (2097, 1.0))
(('Pseudonestor xanthophrys', 'US-HI'), (221, 1.0))
(('Anas platyrhynchos x wyvilliana', 'US-HI'), (9133, 1.0))
(('Moho braccatus', 'US-HI'), (7, 1.0))
(('Psittirostra psittacea', 'US-HI'), (10, 1.0))
(('Loxops coccineus', 'US-HI'), (2926, 1.0))
(('Loxops mana', 'US-HI'), (3468, 1.0))
(('Euodice cantans', 'US-HI'), (9657, 1.0))
(('Francolinus francolinus', 'US-HI'), (5267, 1.0))
(('Pternistis erckelii', 'US-HI'), (12575, 1.0))
(('Ortygornis pondicerianus', 'US-HI'), (16235, 1.0))
(('Horornis diphone', 'US-HI'), (7438, 1.0))
(('Aerodramus bartschi', 'US-HI'), (291, 1.0))
(('Chlorodrepanis flava', 'US-HI'), (2697, 1.0))
(('Lophura leucomelanos', 'US-HI'), (8704, 1.0))
(('Glaucestrilda caerulescens', 'US-HI'), (1066, 1.0))
(('Paroaria capitata', 'US-HI'), (17012, 1.0))
(('Estrilda troglodytes', 'US-HI'), (27, 1.0))
(('Pterorhinus pectoralis', 'US-HI'), (393, 1.0))
(('Loxops ochraceus', 'US-HI'), (2, 1.0))
(('Melamprosops phaeosoma', 'US-HI'), (13, 1.0))
(('Onychoprion lunatus', 'US-HI'), (158, 1.0))
(('Anas platyrhynchos/wyvilliana', 'US-HI'), (710, 1.0))
(('Hemignathus hanapepe', 'US-HI'), (1, 1.0))
(('Pterodroma hypoleuca', 'US-HI'), (23, 1.0))
(('Thalasseus bergii', 'US-HI'), (3, 1.0))
(('Pterodroma nigripennis', 'US-HI'), (416, 1.0))
(('Anous ceruleus', 'US-HI'), (77, 1.0))
(('Pterocles exustus', 'US-HI'), (1002, 1.0))
(('Anas laysanensis', 'US-HI'), (10, 1.0))
(('Telespiza cantans', 'US-HI'), (5, 1.0))
(('Netta peposaca', 'US-HI'), (2, 1.0))
(('Cacatua moluccensis', 'US-HI'), (18, 1.0))
(('Lonchura molucca', 'US-HI'), (1, 1.0))
(('Acrocephalus familiaris', 'US-HI'), (17, 1.0))
(('Telespiza ultima', 'US-HI'), (18, 1.0))
(('Cacatua alba', 'US-HI'), (18, 1.0))
(('Pionus menstruus', 'US-HI'), (1, 1.0))
(('Cacatua sp.', 'US-HI'), (2, 1.0))
(('Cacatua goffiniana', 'US-HI'), (15, 1.0))
(('Drepanidinae sp.', 'US-HI'), (2, 1.0))
(('Pterodroma heraldica', 'US-HI'), (4, 1.0))
(('Plegadis chihi/ridgwayi', 'US-HI'), (4, 1.0))
(('Leiothrichidae sp. (laughingthrush sp.)', 'US-HI'), (2, 1.0))
(('Acridotheres sp.', 'US-HI'), (1, 1.0))
(('Zosterops sp.', 'US-HI'), (1, 1.0))
(('Larosterna inca', 'US-HI'), (150, 1.0))
(('Loxia curvirostra/sinesciuris', 'US-ID'), (369, 1.0))
(('Loxia sinesciuris', 'US-ID'), (2084, 1.0))
(('Elaenia parvirostris', 'US-IL'), (63, 1.0))
(('Elaenia parvirostris/albiceps', 'US-IL'), (5, 1.0))
(('Tympanuchus cupido x pallidicinctus', 'US-KS'), (30, 1.0))
(('Empidonomus aurantioatrocristatus', 'US-LA'), (2, 1.0))
(('Quiscalus major x mexicanus', 'US-LA'), (2, 1.0))
(('Stelgidopteryx serripennis/ruficollis', 'US-LA'), (1, 1.0))
(('Molothrus bonariensis/aeneus', 'US-LA'), (1, 1.0))
(('Anthropoides paradiseus', 'US-MD'), (1, 1.0))
(('Poicephalus senegalus', 'US-MD'), (2, 1.0))
(('Calidris ferruginea x melanotos', 'US-MA'), (2, 1.0))
(('Trugon terrestris', 'US-MA'), (1, 1.0))
