(('Buteo', 'CA-AB'), (131931, 1.3143503122752294))
(('Cardellina', 'CA-AB'), (16715, 1.3009139210408747))
(('Picidae', 'CA-AB'), (1222, 1.2998946867410601))
(('Falco', 'CA-AB'), (55854, 1.274411075668951))
(('Troglodytes', 'CA-AB'), (55203, 1.2599802749805213))
(('Limnodromus', 'CA-AB'), (11120, 1.207951738529312))
(('Plegadis', 'CA-AB'), (9259, 1.1944611109937764))
(('Sturnella', 'CA-AB'), (31252, 1.1916936836334069))
(('Turdus', 'CA-AB'), (181191, 1.1662438805335797))
(('Haliaeetus', 'CA-AB'), (45552, 1.1403665938067356))
(('Calamospiza', 'CA-AB'), (1056, 1.127742030378294))
(('Dryobates', 'CA-AB'), (163647, 1.1028735564310452))
(('Sterna', 'CA-AB'), (17513, 1.0682115205884934))
(('Sterninae', 'CA-AB'), (420, 1.042176879046444))
(('Lanius', 'CA-AB'), (10990, 1.0368168957070754))
(('Zonotrichia', 'CA-AB'), (86114, 1.0278047987672034))
(('Calcarius/Rhynchophanes', 'CA-AB'), (25, 1.0241733845532603))
(('Catharus', 'CA-AB'), (39604, 1.016138359461669))
(('Sphyrapicus', 'CA-AB'), (18924, 1.0152199104841186))
(('Molothrus', 'CA-AB'), (47505, 1.0113458897050387))
(('Botaurus', 'CA-AB'), (2763, 1.0040325896810545))
(('Parkesia', 'CA-AB'), (9923, 0.9947722127795722))
(('Spizelloides', 'CA-AB'), (12874, 0.9841082176128955))
(('Agelaius', 'CA-AB'), (108519, 0.9753057368239327))
(('Gavia', 'CA-AB'), (20677, 0.9697921662963386))
(('Turdidae', 'CA-AB'), (101, 0.952116833072112))
(('Numenius', 'CA-AB'), (3775, 0.9517903803999885))
(('Larus', 'CA-AB'), (136867, 0.9240328409568738))
(('Charadrius', 'CA-AB'), (58245, 0.919615210453146))
(('Corthylio', 'CA-AB'), (31695, 0.9136890512143205))
(('Tyrannus', 'CA-AB'), (35950, 0.884775047997008))
(('Salpinctes', 'CA-AB'), (2037, 0.8832760411056674))
(('Anatidae', 'CA-AB'), (532, 0.8823459466097086))
(('Accipiter', 'CA-AB'), (28602, 0.8641746442151269))
(('Junco', 'CA-AB'), (63920, 0.8504941424475554))
(('Cistothorus', 'CA-AB'), (10104, 0.8485716181243778))
(('Passeriformes', 'CA-AB'), (1772, 0.8479152162636339))
(('Seiurus', 'CA-AB'), (12805, 0.8247435946534919))
(('Sturnus', 'CA-AB'), (86227, 0.8118056537087714))
(('Haemorhous', 'CA-AB'), (82320, 0.8080315535402688))
(('Dryocopus', 'CA-AB'), (23426, 0.8050312377238078))
(('Regulus', 'CA-AB'), (14407, 0.8036395152783821))
(('Grus', 'CA-AB'), (177, 0.7854572590060057))
(('Contopus', 'CA-AB'), (22573, 0.779557927722507))
(('Icteridae', 'CA-AB'), (1347, 0.7561579587416946))
