Bird,State,Count,Score
Caracara,CA-AB,17,-0.000476
Corthylio,CA-AB,31692,-0.000476
Colinus,CA-AB,2,-0.000477
Protonotaria,CA-AB,25,-0.000499
Megascops,CA-AB,27,-0.000500
Agelaius,CA-AB,108519,-0.000505
Sternula,CA-AB,36,-0.000537
Regulus,CA-AB,14407,-0.000551
Dolichonyx,CA-AB,1825,-0.000555
Spiza,CA-AB,16,-0.000597
Clangula,CA-AB,1065,-0.000651
Icteria,CA-AB,550,-0.000679
Lophodytes,CA-AB,13537,-0.000681
Tyrannus,CA-AB,35950,-0.000687
Antigone,CA-AB,8071,-0.000693
Vermivora,CA-AB,5,-0.000697
Pluvialis,CA-AB,5505,-0.000699
Accipiter,CA-AB,27851,-0.000725
Certhia,CA-AB,9542,-0.000772
Charadrius,CA-AB,58245,-0.000826
Somateria,CA-AB,31,-0.000857
Rallus,CA-AB,606,-0.000874
Strix,CA-AB,1275,-0.000880
Dryocopus,CA-AB,23426,-0.000888
Arenaria,CA-AB,414,-0.000952
Stelgidopteryx,CA-AB,10522,-0.000978
Passerella,CA-AB,2698,-0.000992
Contopus,CA-AB,22573,-0.000992
Progne,CA-AB,5354,-0.001061
Hydroprogne,CA-AB,1702,-0.001076
Bubulcus,CA-AB,41,-0.001193
Pheucticus,CA-AB,13588,-0.001299
Callipepla,CA-AB,1,-0.001299
Melanitta,CA-AB,5323,-0.001328
Pandion,CA-AB,23023,-0.001357
Streptopelia,CA-AB,12724,-0.001443
Coccyzus,CA-AB,232,-0.001458
Larus,CA-AB,136857,-0.001504
Podilymbus,CA-AB,14526,-0.001661
Junco,CA-AB,63920,-0.001771
Mniotilta,CA-AB,5845,-0.001822
Hylocichla,CA-AB,7,-0.001907
Meleagris,CA-AB,724,-0.002028
Calypte,CA-AB,289,-0.002061
Hirundo,CA-AB,33950,-0.002395
Butorides,CA-AB,30,-0.002414
Piranga,CA-AB,9594,-0.002425
Aix,CA-AB,10869,-0.002638
Calidris,CA-AB,35541,-0.002876
Haemorhous,CA-AB,82136,-0.003047
Megaceryle,CA-AB,16885,-0.003073
Sturnus,CA-AB,86227,-0.003132
Nannopterum,CA-AB,33988,-0.003379
Geothlypis,CA-AB,27195,-0.003487
Coragyps,CA-AB,1,-0.003536
Toxostoma,CA-AB,4248,-0.003576
Icterus,CA-AB,15676,-0.003599
Chaetura,CA-AB,61,-0.003724
Myiarchus,CA-AB,650,-0.003799
Archilochus,CA-AB,6400,-0.003800
Dumetella,CA-AB,21787,-0.004560
Polioptila,CA-AB,24,-0.004715
Sialia,CA-AB,17481,-0.004819
Vireo,CA-AB,54066,-0.005196
Passerina,CA-AB,1431,-0.005202
Egretta,CA-AB,127,-0.005790
Sayornis,CA-AB,11960,-0.006282
Spinus,CA-AB,101194,-0.006568
Melospiza,CA-AB,94545,-0.007062
Cyanocitta,CA-AB,94079,-0.007102
Pipilo,CA-AB,4226,-0.007244
Mimus,CA-AB,260,-0.008778
Quiscalus,CA-AB,29818,-0.009678
Setophaga,CA-AB,169219,-0.011006
Cathartes,CA-AB,5474,-0.011396
Ardea,CA-AB,33193,-0.011745
Melanerpes,CA-AB,398,-0.015775
Zenaida,CA-AB,23520,-0.019985
Cardinalis,CA-AB,123,-0.022316
Corvus,CA-BC,954472,0.018248
Larus,CA-BC,710123,0.015143
Pipilo,CA-BC,402839,0.013487
Colaptes,CA-BC,476541,0.013421
Haliaeetus,CA-BC,352974,0.012619
Bucephala,CA-BC,351687,0.011740
Calypte,CA-BC,254360,0.011445
Anas,CA-BC,668076,0.011367
Poecile,CA-BC,688984,0.011193
Junco,CA-BC,418987,0.010650
Melospiza,CA-BC,587494,0.009507
Mareca,CA-BC,291618,0.009426
Zonotrichia,CA-BC,378129,0.007120
Selasphorus,CA-BC,156703,0.006760
Turdus,CA-BC,574708,0.006444
Haemorhous,CA-BC,414614,0.006287
Tachycineta,CA-BC,274638,0.006036
Empidonax,CA-BC,199678,0.005664
Podiceps,CA-BC,146590,0.005423
Ixoreus,CA-BC,106635,0.005158
Thryomanes,CA-BC,131604,0.005147
Regulus,CA-BC,148062,0.005110
Mergus,CA-BC,190032,0.005067
Gavia,CA-BC,156607,0.005037
Urile,CA-BC,103788,0.004951
Passerella,CA-BC,114542,0.004689
Psaltriparus,CA-BC,105050,0.004557
Melanitta,CA-BC,118344,0.004142
Aythya,CA-BC,219238,0.003444
Loxia,CA-BC,77065,0.003341
Certhia,CA-BC,102429,0.003204
Branta,CA-BC,394318,0.003189
Callipepla,CA-BC,83533,0.003139
Leiothlypis,CA-BC,145990,0.002933
Lophodytes,CA-BC,103242,0.002719
Euphagus,CA-BC,83953,0.002642
Cistothorus,CA-BC,84167,0.002638
Streptopelia,CA-BC,113504,0.002617
Troglodytes,CA-BC,173452,0.002426
Haematopus,CA-BC,56989,0.002364
Histrionicus,CA-BC,50414,0.002355
Pica,CA-BC,86246,0.002334
Passerculus,CA-BC,104700,0.002290
Corthylio,CA-BC,143743,0.002271
Catharus,CA-BC,148549,0.001853
Cardellina,CA-BC,70540,0.001762
Bombycilla,CA-BC,149195,0.001750
Cepphus,CA-BC,38429,0.001535
Patagioenas,CA-BC,36164,0.001470
Coccothraustes,CA-BC,37162,0.001242
Brachyramphus,CA-BC,25604,0.001234
Cerorhinca,CA-BC,25802,0.001226
Megaceryle,CA-BC,129811,0.001183
Phasianus,CA-BC,38992,0.001179
Uria,CA-BC,27197,0.001170
Aechmophorus,CA-BC,36634,0.001154
Fulica,CA-BC,101911,0.001027
