Bird,State,Count,Score
Quiscalus,MX-ROO,29994,0.019666
Icterus,MX-BCS,14548,0.019553
Tyrannus,MX-ROO,22741,0.019488
Haemorhous,US-NM,259544,0.019487
Thryothorus,US-AL,127076,0.019447
Cyanocorax,MX-YUC,18304,0.019441
Melozone,MX-MIC,3633,0.019429
Setophaga,CA-PE,15673,0.019390
Pyrocephalus,MX-ZAC,153,0.019389
Setophaga,CA-NT,12729,0.019386
Pyrocephalus,MX-COA,1556,0.019260
Larus,US-MA,953627,0.019206
Tyrannus,MX-COA,1984,0.019195
Myiozetetes,MX-YUC,17857,0.019101
Tyrannus,MX-TAB,3348,0.019029
Aythya,CA-YT,18969,0.018885
Lonchura,US-HI,27459,0.018832
Tyrannus,MX-GUA,3379,0.018789
Acanthis,CA-NT,4483,0.018737
Cathartes,MX-ZAC,236,0.018699
Sitta,US-NH,174912,0.018686
Toxostoma,MX-PUE,2119,0.018674
Corvus,CA-AB,333093,0.018666
Pitangus,MX-COL,3274,0.018661
Phalaropus,CA-NU,3094,0.018656
Mimus,MX-ROO,24326,0.018649
Haemorhous,MX-DIF,20747,0.018625
Tyrannus,MX-PUE,2293,0.018621
Gavia,CA-NT,4975,0.018601
Zenaida,US-AZ,916998,0.018588
Cynanthus,MX-QUE,1504,0.018564
Thryomanes,MX-PUE,1886,0.018513
Quiscalus,MX-TLA,420,0.018513
Tyrannus,MX-JAL,20524,0.018499
Lagopus,CA-NU,2948,0.018416
Tyrannus,MX-GRO,2736,0.018403
Mimus,US-TX,1153435,0.018341
Haliaeetus,US-AK,114756,0.018334
Cynanthus,MX-AGU,929,0.018286
Corvus,CA-BC,954472,0.018248
Eupsittula,MX-TAB,2438,0.018240
Tyrannus,MX-COL,4170,0.018232
Columbina,MX-VER,29224,0.018111
Cynanthus,MX-DIF,11230,0.018102
Haemorhous,US-HI,48637,0.018004
Aphelocoma,US-OR,374161,0.017935
Melospiza,CA-PE,10995,0.017910
Cardellina,MX-DIF,12080,0.017885
Cyanocorax,MX-ROO,16069,0.017789
Egretta,US-SC,195795,0.017752
Columbina,MX-SON,9964,0.017722
Tyrannus,MX-TLA,307,0.017721
Estrilda,US-HI,25798,0.017717
Myiozetetes,MX-TAB,2370,0.017634
Egretta,MX-NAY,25058,0.017600
Campylorhynchus,MX-BCS,10319,0.017593
Anas,CA-NS,160061,0.017539
Cyanocorax,MX-NLE,5633,0.017514
Leucolia,MX-GUA,2377,0.017457
Zenaida,MX-CHH,4801,0.017426
Calypte,MX-BCN,12950,0.017360
Melozone,MX-GUA,2494,0.017348
Icterus,MX-GUA,3156,0.017325
