Bird,State,Count,Score
Brotogeris,US-FL,6942,0.592317
Rhodinocichla,MX-NAY,1118,0.590978
Cyanoloxia,MX-CHP,839,0.580948
Celeus,MX-CHP,862,0.576849
Anous,US-HI,7888,0.574166
Diomedeidae,US-AK,59,0.571838
Phoenicopterus,MX-YUC,6151,0.571326
Lampornis,US-AZ,24588,0.568607
Campylopterus,MX-CHP,1432,0.563829
Chamaea,US-CA,57649,0.559682
Formicarius,MX-CHP,1618,0.559547
Coereba,MX-ROO,5172,0.559417
Notharchus,MX-CHP,391,0.556488
Alopochen,US-FL,31981,0.556429
Eudocimus,US-FL,748541,0.555899
Zentrygon,MX-CHP,1432,0.554615
Pelagodroma,US-MA,1036,0.551016
Calothorax,US-AZ,9576,0.542704
Campylorhynchus,US-AZ,200611,0.541027
Nomonyx,US-TX,774,0.537958
Ceratopipra,MX-CHP,1001,0.535443
Peucedramus,US-AZ,17080,0.534527
Xenotriccus,MX-OAX,1090,0.533642
Chloroceryle,US-TX,42946,0.525579
Myiodynastes,US-AZ,20562,0.523854
Leptotila,US-TX,83884,0.522651
Alcedinidae,US-TX,412,0.522354
Ortalis,US-TX,88258,0.517526
Harpagus,MX-CHP,366,0.516393
Aramides,MX-VER,4825,0.514268
Pitangus,US-TX,187667,0.513166
Aulacorhynchus,MX-CHP,2863,0.512813
Xiphocolaptes,MX-OAX,299,0.510789
Pulsatrix,MX-CHP,52,0.508517
Fratercula,US-AK,48084,0.508026
Diglossa,MX-DIF,5831,0.506157
Amphispiza,US-AZ,137441,0.505094
Chlorospingus,MX-VER,5774,0.504342
Lamprolaima,MX-CHP,874,0.504208
Cerorhinca,US-WA,56517,0.500974
Dactylortyx,MX-CHP,1722,0.499151
Leucolia,US-AZ,23458,0.496510
Rhodothraupis,US-TX,3151,0.495660
Melozone,US-AZ,388898,0.494355
Prunella,US-WA,589,0.490693
Thraupis,MX-VER,23419,0.490392
Oenanthe,US-AK,5543,0.489787
Fringilla,US-AK,2344,0.489494
Automolus,MX-VER,681,0.485711
Phaethornis,MX-CHP,4249,0.485598
Panyptila,MX-CHP,400,0.485331
